Date,Price
2010-07-14,118.30000305175781
2010-07-15,118.2300033569336
2010-07-16,116.66999816894531
2010-07-17,116.66999816894531
2010-07-18,116.66999816894531
2010-07-19,115.7300033569336
2010-07-20,116.6500015258789
2010-07-21,115.8499984741211
2010-07-22,116.86000061035156
2010-07-23,116.08999633789062
2010-07-24,116.08999633789062
2010-07-25,116.08999633789062
2010-07-26,115.5199966430664
2010-07-27,113.51000213623047
2010-07-28,113.77999877929688
2010-07-29,114.29000091552734
2010-07-30,115.48999786376953
2010-07-31,115.48999786376953
2010-08-01,115.48999786376953
2010-08-02,115.54000091552734
2010-08-03,115.98999786376953
2010-08-04,116.72000122070312
2010-08-05,116.9800033569336
2010-08-06,117.83999633789062
2010-08-07,117.83999633789062
2010-08-08,117.83999633789062
2010-08-09,117.4000015258789
2010-08-10,117.7300033569336
2010-08-11,117.33999633789062
2010-08-12,118.7699966430664
2010-08-13,118.73999786376953
2010-08-14,118.73999786376953
2010-08-15,118.73999786376953
2010-08-16,119.7300033569336
2010-08-17,119.75
2010-08-18,120.22000122070312
2010-08-19,120.38999938964844
2010-08-20,119.97000122070312
2010-08-21,119.97000122070312
2010-08-22,119.97000122070312
2010-08-23,119.77999877929688
2010-08-24,120.36000061035156
2010-08-25,121.36000061035156
2010-08-26,120.95999908447266
2010-08-27,121.01000213623047
2010-08-28,121.01000213623047
2010-08-29,121.01000213623047
2010-08-30,120.91000366210938
2010-08-31,122.08000183105469
2010-09-01,121.69000244140625
2010-09-02,122.29000091552734
2010-09-03,121.86000061035156
2010-09-04,121.86000061035156
2010-09-05,121.86000061035156
2010-09-06,121.86000061035156
2010-09-07,122.69999694824219
2010-09-08,122.70999908447266
2010-09-09,121.55999755859375
2010-09-10,121.7300033569336
2010-09-11,121.7300033569336
2010-09-12,121.7300033569336
2010-09-13,121.62000274658203
2010-09-14,124.0199966430664
2010-09-15,123.94000244140625
2010-09-16,124.62999725341797
2010-09-17,124.54000091552734
2010-09-18,124.54000091552734
2010-09-19,124.54000091552734
2010-09-20,124.87000274658203
2010-09-21,126.01000213623047
2010-09-22,126.19999694824219
2010-09-23,126.30000305175781
2010-09-24,126.69000244140625
2010-09-25,126.69000244140625
2010-09-26,126.69000244140625
2010-09-27,126.72000122070312
2010-09-28,127.8499984741211
2010-09-29,127.94999694824219
2010-09-30,127.91000366210938
2010-10-01,128.91000366210938
2010-10-02,128.91000366210938
2010-10-03,128.91000366210938
2010-10-04,128.4600067138672
2010-10-05,130.99000549316406
2010-10-06,131.80999755859375
2010-10-07,130.3699951171875
2010-10-08,131.66000366210938
2010-10-09,131.66000366210938
2010-10-10,131.66000366210938
2010-10-11,132.2899932861328
2010-10-12,131.9600067138672
2010-10-13,134.07000732421875
2010-10-14,134.75
2010-10-15,133.67999267578125
2010-10-16,133.67999267578125
2010-10-17,133.67999267578125
2010-10-18,134.27999877929688
2010-10-19,130.11000061035156
2010-10-20,131.32000732421875
2010-10-21,129.47000122070312
2010-10-22,129.72999572753906
2010-10-23,129.72999572753906
2010-10-24,129.72999572753906
2010-10-25,130.85000610351562
2010-10-26,130.8800048828125
2010-10-27,129.52000427246094
2010-10-28,131.24000549316406
2010-10-29,132.6199951171875
2010-10-30,132.6199951171875
2010-10-31,132.6199951171875
2010-11-01,131.9199981689453
2010-11-02,132.49000549316406
2010-11-03,131.57000732421875
2010-11-04,136.02999877929688
2010-11-05,136.3800048828125
2010-11-06,136.3800048828125
2010-11-07,136.3800048828125
2010-11-08,137.77999877929688
2010-11-09,135.58999633789062
2010-11-10,137.24000549316406
2010-11-11,137.66000366210938
2010-11-12,133.69000244140625
2010-11-13,133.69000244140625
2010-11-14,133.69000244140625
2010-11-15,132.4199981689453
2010-11-16,130.97000122070312
2010-11-17,130.3800048828125
2010-11-18,132.08999633789062
2010-11-19,132.1999969482422
2010-11-20,132.1999969482422
2010-11-21,132.1999969482422
2010-11-22,133.47999572753906
2010-11-23,134.41000366210938
2010-11-24,134.17999267578125
2010-11-25,134.17999267578125
2010-11-26,133.11000061035156
2010-11-27,133.11000061035156
2010-11-28,133.11000061035156
2010-11-29,133.50999450683594
2010-11-30,135.4199981689453
2010-12-01,135.3800048828125
2010-12-02,135.1999969482422
2010-12-03,138.07000732421875
2010-12-04,138.07000732421875
2010-12-05,138.07000732421875
2010-12-06,139.11000061035156
2010-12-07,136.5
2010-12-08,134.7899932861328
2010-12-09,135.3699951171875
2010-12-10,135.41000366210938
2010-12-11,135.41000366210938
2010-12-12,135.41000366210938
2010-12-13,136.0500030517578
2010-12-14,136.17999267578125
2010-12-15,134.6999969482422
2010-12-16,133.80999755859375
2010-12-17,134.1999969482422
2010-12-18,134.1999969482422
2010-12-19,134.1999969482422
2010-12-20,135.11000061035156
2010-12-21,135.32000732421875
2010-12-22,135.0500030517578
2010-12-23,134.66000366210938
2010-12-24,134.66000366210938
2010-12-25,134.66000366210938
2010-12-26,134.66000366210938
2010-12-27,135.02000427246094
2010-12-28,137.22000122070312
2010-12-29,137.7100067138672
2010-12-30,137.02999877929688
2010-12-31,138.72000122070312
2011-01-01,138.72000122070312
2011-01-02,138.72000122070312
2011-01-03,138.0
2011-01-04,134.75
2011-01-05,134.3699951171875
2011-01-06,133.8300018310547
2011-01-07,133.5800018310547
2011-01-08,133.5800018310547
2011-01-09,133.5800018310547
2011-01-10,134.1199951171875
2011-01-11,134.91000366210938
2011-01-12,135.4600067138672
2011-01-13,134.0500030517578
2011-01-14,132.69000244140625
2011-01-15,132.69000244140625
2011-01-16,132.69000244140625
