Date,Price
2010-07-14,88.33435821533203
2010-07-15,88.35855865478516
2010-07-16,85.9256362915039
2010-07-19,86.43313598632812
2010-07-20,87.39181518554688
2010-07-21,86.25590515136719
2010-07-22,88.18130493164062
2010-07-23,88.9466323852539
2010-07-26,89.87306213378906
2010-07-27,89.86500549316406
2010-07-28,89.28497314453125
2010-07-29,88.84996795654297
2010-07-30,88.83382415771484
2010-08-02,90.83979034423828
2010-08-03,90.4047622680664
2010-08-04,91.00897216796875
2010-08-05,90.91229248046875
2010-08-06,90.54170227050781
2010-08-09,91.02506256103516
2010-08-10,90.53365325927734
2010-08-11,88.05241394042969
2010-08-12,87.51264190673828
2010-08-13,87.25486755371094
2010-08-16,87.21458435058594
2010-08-17,88.28602600097656
2010-08-18,88.44715118408203
2010-08-19,86.90843200683594
2010-08-20,86.62646484375
2010-08-23,86.29619598388672
2010-08-24,85.01527404785156
2010-08-25,85.34559631347656
2010-08-26,84.77360534667969
2010-08-27,86.08675384521484
2010-08-30,84.83807373046875
2010-08-31,84.83807373046875
2010-09-01,87.3757095336914
2010-09-02,88.1893539428711
2010-09-03,89.33330535888672
2010-09-07,88.32628631591797
2010-09-08,88.9466323852539
2010-09-09,89.35749053955078
2010-09-10,89.80862426757812
2010-09-13,90.80756378173828
2010-09-14,90.75119018554688
2010-09-15,91.09759521484375
2010-09-16,91.07341003417969
2010-09-17,91.10740661621094
2010-09-20,92.50049591064453
2010-09-21,92.31422424316406
2010-09-22,91.86067199707031
2010-09-23,91.11554718017578
2010-09-24,92.99451446533203
2010-09-27,92.54907989501953
2010-09-28,92.87306213378906
2010-09-29,92.71107482910156
2010-09-30,92.43567657470703
2010-10-01,92.8244400024414
2010-10-04,92.1279296875
2010-10-05,93.98262023925781
2010-10-06,93.97453308105469
2010-10-07,93.86114501953125
2010-10-08,94.3875961303711
2010-10-11,94.47669982910156
2010-10-12,94.76824951171875
2010-10-13,95.50524139404297
2010-10-14,95.13270568847656
2010-10-15,95.32707977294922
2010-10-18,95.79683685302734
2010-10-19,94.54148864746094
2010-10-20,95.46476745605469
2010-10-21,95.67533111572266
2010-10-22,95.85354614257812
2010-10-25,96.13700866699219
2010-10-26,96.15321350097656
2010-10-27,95.87781524658203
2010-10-28,95.89404296875
2010-10-29,95.9669189453125
2010-11-01,95.99931335449219
2010-11-02,96.76062774658203
2010-11-03,97.14936828613281
2010-11-04,99.02030181884766
2010-11-05,99.39288330078125
2010-11-08,99.20661163330078
2010-11-09,98.49385070800781
2010-11-10,98.89073181152344
2010-11-11,98.51815032958984
2010-11-12,97.35189056396484
2010-11-15,97.21419525146484
2010-11-16,95.69966125488281
2010-11-17,95.7482681274414
2010-11-18,97.15748596191406
2010-11-19,97.42479705810547
2010-11-22,97.34378814697266
2010-11-23,95.93451690673828
2010-11-24,97.35189056396484
2010-11-26,96.2179946899414
2010-11-29,96.50957489013672
2010-11-30,95.9669189453125
2010-12-01,98.00792694091797
2010-12-02,99.26329040527344
2010-12-03,99.53057098388672
2010-12-06,99.4252700805664
2010-12-07,99.48198699951172
2010-12-08,99.84642028808594
2010-12-09,100.2352066040039
2010-12-10,100.81832122802734
2010-12-13,100.88314056396484
2010-12-14,100.97221374511719
2010-12-15,100.51056671142578
2010-12-16,101.09371948242188
2010-12-17,101.20195770263672
2010-12-20,101.44622039794922
2010-12-21,102.08942413330078
2010-12-22,102.40694427490234
2010-12-23,102.26041412353516
2010-12-27,102.30113220214844
2010-12-28,102.44766998291016
2010-12-29,102.52092742919922
2010-12-30,102.35812377929688
2010-12-31,102.38253784179688
2011-01-03,103.44097900390625
2011-01-04,103.38394927978516
2011-01-05,103.92133331298828
2011-01-06,103.71778106689453
2011-01-07,103.51423645019531
2011-01-10,103.38394927978516
2011-01-11,103.75032043457031
2011-01-12,104.68666076660156
2011-01-13,104.5156478881836
2011-01-14,105.27286529541016
2011-01-18,105.45196533203125
2011-01-19,104.41796875
2011-01-20,104.27954864501953
2011-01-21,104.5156478881836
2011-01-24,105.11003112792969
2011-01-25,105.16699981689453
2011-01-26,105.57408905029297
2011-01-27,105.83463287353516
2011-01-28,103.98644256591797
2011-01-31,104.7680435180664
2011-02-01,106.44525146484375
2011-02-02,106.2417221069336
2011-02-03,106.47785186767578
2011-02-04,106.77906799316406
2011-02-07,107.44669342041016
2011-02-08,107.93523406982422
2011-02-09,107.69097900390625
2011-02-10,107.73169708251953
2011-02-11,108.37486267089844
2011-02-14,108.63539123535156
2011-02-15,108.29344940185547
2011-02-16,108.97734832763672
2011-02-17,109.30304718017578
2011-02-18,109.53097534179688
2011-02-22,107.3327407836914
2011-02-23,106.67327117919922
2011-02-24,106.59996795654297
2011-02-25,107.73980712890625
2011-02-28,108.40740203857422
2011-03-01,106.59996795654297
2011-03-02,106.82791137695312
2011-03-03,108.66796112060547
2011-03-04,107.85376739501953
2011-03-07,107.00706481933594
2011-03-08,107.94335174560547
2011-03-09,107.78865051269531
2011-03-10,105.7939224243164
2011-03-11,106.52667236328125
2011-03-14,105.88350677490234
2011-03-15,104.67036437988281
2011-03-16,102.73262023925781
2011-03-17,104.09229278564453
2011-03-18,104.47089385986328
2011-03-21,106.09001159667969
2011-03-22,105.72199249267578
2011-03-23,106.0245590209961
2011-03-24,107.03850555419922
2011-03-25,107.3656234741211
2011-03-28,107.10395050048828
2011-03-29,107.82353210449219
2011-03-30,108.5676498413086
2011-03-31,108.42044067382812
2011-04-01,108.87834930419922
2011-04-04,108.96830749511719
2011-04-05,108.95195770263672
2011-04-06,109.29541778564453
